 r_peak96.000000 r_peak_value1.680415 rr_pre_interval96.000000 rr_post_interval98.000000 p_onset3.000000 p_onset_val1.492136 p_peak76.000000 p_peak_val-0.145939 p_end79.000000 p_end_val-0.133384 qrs_onset86.000000 qrs_onset_val0.148638 qrs_end28.000000 qrs_end_val-0.190160 t_peak22.000000 t_peak_val0.000991 t_end98.000000 t_end_val0.299376
 r_peak119643.000000 r_peak_value1.356205 rr_pre_interval344.000000 rr_post_interval275.000000 p_onset168.000000 p_onset_val-0.005753 p_peak207.000000 p_peak_val0.039360 p_end210.000000 p_end_val0.014690 qrs_onset248.000000 qrs_onset_val-0.047302 qrs_end22.000000 qrs_end_val-0.332712 t_peak76.000000 t_peak_val0.064606 t_end83.000000 t_end_val0.035907
 r_peak119918.000000 r_peak_value1.494187 rr_pre_interval275.000000 rr_post_interval267.000000 p_onset203.000000 p_onset_val-0.065771 p_peak227.000000 p_peak_val0.040373 p_end234.000000 p_end_val-0.015912 qrs_onset246.000000 qrs_onset_val0.008212 qrs_end21.000000 qrs_end_val-0.286518 t_peak77.000000 t_peak_val0.057638 t_end167.000000 t_end_val-0.027574
 r_peak120185.000000 r_peak_value1.652775 rr_pre_interval267.000000 rr_post_interval178.000000 p_onset121.000000 p_onset_val-0.058335 p_peak157.000000 p_peak_val0.059439 p_end148.000000 p_end_val-0.062567 qrs_onset155.000000 qrs_onset_val0.018999 qrs_end17.000000 qrs_end_val-0.253510 t_peak73.000000 t_peak_val0.068545 t_end75.000000 t_end_val0.018059
 r_peak120363.000000 r_peak_value1.861081 rr_pre_interval178.000000 rr_post_interval246.000000 p_onset163.000000 p_onset_val-0.068999 p_peak202.000000 p_peak_val-0.028073 p_end205.000000 p_end_val-0.079249 qrs_onset225.000000 qrs_onset_val-0.044388 qrs_end19.000000 qrs_end_val-0.233480 t_peak75.000000 t_peak_val0.060374 t_end163.000000 t_end_val-0.068999
 r_peak120609.000000 r_peak_value1.049233 rr_pre_interval246.000000 rr_post_interval248.000000 p_onset190.000000 p_onset_val0.006006 p_peak227.000000 p_peak_val0.054092 p_end214.000000 p_end_val0.032808 qrs_onset221.000000 qrs_onset_val-0.015986 qrs_end14.000000 qrs_end_val-0.191896 t_peak81.000000 t_peak_val0.045171 t_end83.000000 t_end_val0.044904
 r_peak120857.000000 r_peak_value1.471551 rr_pre_interval248.000000 rr_post_interval167.000000 p_onset81.000000 p_onset_val0.074871 p_peak122.000000 p_peak_val-0.018671 p_end131.000000 p_end_val-0.057415 qrs_onset143.000000 qrs_onset_val-0.081161 qrs_end19.000000 qrs_end_val-0.286131 t_peak80.000000 t_peak_val0.081375 t_end81.000000 t_end_val0.074871
 r_peak121024.000000 r_peak_value1.488369 rr_pre_interval167.000000 rr_post_interval248.000000 p_onset207.000000 p_onset_val0.083274 p_peak227.000000 p_peak_val0.104746 p_end225.000000 p_end_val0.074996 qrs_onset232.000000 qrs_onset_val0.245027 qrs_end23.000000 qrs_end_val-0.266582 t_peak82.000000 t_peak_val0.102183 t_end87.000000 t_end_val0.094440
 r_peak121272.000000 r_peak_value1.486048 rr_pre_interval248.000000 rr_post_interval276.000000 p_onset140.000000 p_onset_val-0.047181 p_peak180.000000 p_peak_val0.080892 p_end196.000000 p_end_val-0.024656 qrs_onset252.000000 qrs_onset_val0.047555 qrs_end16.000000 qrs_end_val-0.247964 t_peak103.000000 t_peak_val0.106065 t_end144.000000 t_end_val-0.034815
 r_peak121548.000000 r_peak_value1.371159 rr_pre_interval276.000000 rr_post_interval165.000000 p_onset92.000000 p_onset_val-0.006501 p_peak132.000000 p_peak_val-0.024842 p_end134.000000 p_end_val-0.048260 qrs_onset144.000000 qrs_onset_val-0.028825 qrs_end21.000000 qrs_end_val-0.431911 t_peak84.000000 t_peak_val0.068169 t_end92.000000 t_end_val-0.006501
 r_peak121713.000000 r_peak_value1.156909 rr_pre_interval165.000000 rr_post_interval131.000000 p_onset29.000000 p_onset_val-0.289530 p_peak82.000000 p_peak_val0.087209 p_end104.000000 p_end_val-0.054451 qrs_onset114.000000 qrs_onset_val-0.008636 qrs_end18.000000 qrs_end_val-0.245942 t_peak75.000000 t_peak_val0.101457 t_end89.000000 t_end_val0.011864
 r_peak121844.000000 r_peak_value1.087427 rr_pre_interval131.000000 rr_post_interval232.000000 p_onset155.000000 p_onset_val0.010658 p_peak178.000000 p_peak_val0.026959 p_end193.000000 p_end_val-0.063227 qrs_onset211.000000 qrs_onset_val0.019264 qrs_end18.000000 qrs_end_val-0.233654 t_peak72.000000 t_peak_val0.084512 t_end106.000000 t_end_val-0.049407
 r_peak122076.000000 r_peak_value1.655564 rr_pre_interval232.000000 rr_post_interval316.000000 p_onset268.000000 p_onset_val0.011975 p_peak295.000000 p_peak_val0.052149 p_end285.000000 p_end_val0.007587 qrs_onset292.000000 qrs_onset_val-0.008572 qrs_end17.000000 qrs_end_val-0.319265 t_peak96.000000 t_peak_val0.121603 t_end115.000000 t_end_val0.052967
 r_peak122392.000000 r_peak_value1.842871 rr_pre_interval316.000000 rr_post_interval646.000000 p_onset588.000000 p_onset_val-0.022678 p_peak620.000000 p_peak_val0.047214 p_end614.000000 p_end_val0.039299 qrs_onset621.000000 qrs_onset_val0.029376 qrs_end20.000000 qrs_end_val-0.195673 t_peak212.000000 t_peak_val0.907241 t_end343.000000 t_end_val0.877460
 r_peak123038.000000 r_peak_value1.672181 rr_pre_interval646.000000 rr_post_interval208.000000 p_onset134.000000 p_onset_val-0.072538 p_peak187.000000 p_peak_val0.582666 p_end164.000000 p_end_val-2.480501 qrs_onset171.000000 qrs_onset_val-1.651756 qrs_end23.000000 qrs_end_val-0.185705 t_peak95.000000 t_peak_val-0.038684 t_end97.000000 t_end_val-0.062978
 r_peak123246.000000 r_peak_value1.430379 rr_pre_interval208.000000 rr_post_interval215.000000 p_onset104.000000 p_onset_val-0.247673 p_peak193.000000 p_peak_val-0.105080 p_end196.000000 p_end_val-0.078011 qrs_onset203.000000 qrs_onset_val0.342020 qrs_end35.000000 qrs_end_val1.472404 t_peak20.000000 t_peak_val2.009613 t_end88.000000 t_end_val-0.242705
 r_peak123461.000000 r_peak_value1.651142 rr_pre_interval215.000000 rr_post_interval161.000000 p_onset94.000000 p_onset_val-0.130219 p_peak122.000000 p_peak_val0.043307 p_end130.000000 p_end_val-0.009686 qrs_onset144.000000 qrs_onset_val-0.079969 qrs_end23.000000 qrs_end_val-0.352935 t_peak93.000000 t_peak_val-0.125767 t_end94.000000 t_end_val-0.130219
 r_peak123622.000000 r_peak_value1.515188 rr_pre_interval161.000000 rr_post_interval134.000000 p_onset31.000000 p_onset_val-0.314579 p_peak81.000000 p_peak_val0.018967 p_end99.000000 p_end_val-0.031471 qrs_onset119.000000 qrs_onset_val0.130300 qrs_end16.000000 qrs_end_val-0.226348 t_peak79.000000 t_peak_val0.014719 t_end99.000000 t_end_val-0.031471
 r_peak123756.000000 r_peak_value1.490096 rr_pre_interval134.000000 rr_post_interval138.000000 p_onset0.000000 p_onset_val1.490096 p_peak83.000000 p_peak_val-0.027835 p_end108.000000 p_end_val-0.092740 qrs_onset123.000000 qrs_onset_val0.238357 qrs_end19.000000 qrs_end_val-0.434513 t_peak78.000000 t_peak_val-0.004543 t_end108.000000 t_end_val-0.092740
 r_peak123894.000000 r_peak_value1.297574 rr_pre_interval138.000000 rr_post_interval131.000000 p_onset71.000000 p_onset_val0.030034 p_peak108.000000 p_peak_val0.068640 p_end110.000000 p_end_val0.042669 qrs_onset117.000000 qrs_onset_val0.269333 qrs_end18.000000 qrs_end_val-0.339293 t_peak72.000000 t_peak_val0.048529 t_end131.000000 t_end_val1.303519
 r_peak124025.000000 r_peak_value1.303519 rr_pre_interval131.000000 rr_post_interval240.000000 p_onset178.000000 p_onset_val0.010281 p_peak205.000000 p_peak_val0.047132 p_end210.000000 p_end_val0.028700 qrs_onset219.000000 qrs_onset_val-0.004952 qrs_end17.000000 qrs_end_val-0.297768 t_peak79.000000 t_peak_val0.051476 t_end103.000000 t_end_val-0.024469
 r_peak124265.000000 r_peak_value1.614125 rr_pre_interval240.000000 rr_post_interval181.000000 p_onset85.000000 p_onset_val0.045238 p_peak139.000000 p_peak_val0.060066 p_end143.000000 p_end_val0.033985 qrs_onset158.000000 qrs_onset_val0.042933 qrs_end19.000000 qrs_end_val-0.328023 t_peak85.000000 t_peak_val0.045238 t_end129.000000 t_end_val0.023984
 r_peak124446.000000 r_peak_value2.059481 rr_pre_interval181.000000 rr_post_interval238.000000 p_onset146.000000 p_onset_val-0.117538 p_peak186.000000 p_peak_val0.023666 p_end187.000000 p_end_val0.008071 qrs_onset215.000000 qrs_onset_val-0.056366 qrs_end18.000000 qrs_end_val-0.226303 t_peak72.000000 t_peak_val0.020011 t_end105.000000 t_end_val-0.192320
 r_peak124684.000000 r_peak_value1.772691 rr_pre_interval238.000000 rr_post_interval331.000000 p_onset292.000000 p_onset_val-0.046381 p_peak310.000000 p_peak_val0.037490 p_end315.000000 p_end_val0.199026 qrs_onset316.000000 qrs_onset_val0.188179 qrs_end20.000000 qrs_end_val-0.338736 t_peak110.000000 t_peak_val0.011695 t_end112.000000 t_end_val-0.028634
 r_peak125015.000000 r_peak_value1.893824 rr_pre_interval331.000000 rr_post_interval200.000000 p_onset145.000000 p_onset_val-0.062648 p_peak169.000000 p_peak_val0.029644 p_end170.000000 p_end_val0.014016 qrs_onset177.000000 qrs_onset_val-0.052160 qrs_end19.000000 qrs_end_val-0.333323 t_peak108.000000 t_peak_val-0.036849 t_end111.000000 t_end_val-0.044169
 r_peak125215.000000 r_peak_value1.970866 rr_pre_interval200.000000 rr_post_interval142.000000 p_onset78.000000 p_onset_val0.041928 p_peak121.000000 p_peak_val0.022631 p_end112.000000 p_end_val-0.087714 qrs_onset119.000000 qrs_onset_val-0.017416 qrs_end17.000000 qrs_end_val-0.269682 t_peak77.000000 t_peak_val0.061975 t_end82.000000 t_end_val0.022006
 r_peak125357.000000 r_peak_value1.443163 rr_pre_interval142.000000 rr_post_interval378.000000 p_onset320.000000 p_onset_val-0.018747 p_peak357.000000 p_peak_val0.083040 p_end347.000000 p_end_val-0.010784 qrs_onset354.000000 qrs_onset_val-0.005126 qrs_end19.000000 qrs_end_val-0.251994 t_peak79.000000 t_peak_val0.093787 t_end118.000000 t_end_val-0.063438
 r_peak125735.000000 r_peak_value1.876739 rr_pre_interval378.000000 rr_post_interval174.000000 p_onset117.000000 p_onset_val-0.020596 p_peak149.000000 p_peak_val0.277872 p_end147.000000 p_end_val0.193608 qrs_onset154.000000 qrs_onset_val-0.167912 qrs_end21.000000 qrs_end_val-0.436269 t_peak103.000000 t_peak_val-0.047022 t_end117.000000 t_end_val-0.020596
 r_peak125909.000000 r_peak_value0.721729 rr_pre_interval174.000000 rr_post_interval259.000000 p_onset206.000000 p_onset_val-0.097334 p_peak238.000000 p_peak_val-0.046598 p_end230.000000 p_end_val-0.092288 qrs_onset237.000000 qrs_onset_val-0.068323 qrs_end16.000000 qrs_end_val-0.183256 t_peak67.000000 t_peak_val0.711528 t_end68.000000 t_end_val0.686042
 r_peak126168.000000 r_peak_value1.817492 rr_pre_interval259.000000 rr_post_interval229.000000 p_onset126.000000 p_onset_val-0.010655 p_peak179.000000 p_peak_val0.081395 p_end183.000000 p_end_val0.049294 qrs_onset214.000000 qrs_onset_val0.129011 qrs_end19.000000 qrs_end_val-0.328260 t_peak119.000000 t_peak_val0.003484 t_end126.000000 t_end_val-0.010655
 r_peak126397.000000 r_peak_value1.837883 rr_pre_interval229.000000 rr_post_interval207.000000 p_onset114.000000 p_onset_val-0.136817 p_peak183.000000 p_peak_val0.013166 p_end178.000000 p_end_val-0.013731 qrs_onset185.000000 qrs_onset_val-0.008245 qrs_end17.000000 qrs_end_val-0.236098 t_peak77.000000 t_peak_val-0.012697 t_end115.000000 t_end_val-0.126081
 r_peak126604.000000 r_peak_value1.810216 rr_pre_interval207.000000 rr_post_interval307.000000 p_onset253.000000 p_onset_val-0.003446 p_peak284.000000 p_peak_val0.042384 p_end287.000000 p_end_val0.001506 qrs_onset289.000000 qrs_onset_val0.058794 qrs_end19.000000 qrs_end_val-0.289218 t_peak79.000000 t_peak_val0.092977 t_end80.000000 t_end_val0.077413
 r_peak126911.000000 r_peak_value1.816462 rr_pre_interval307.000000 rr_post_interval326.000000 p_onset164.000000 p_onset_val-0.038980 p_peak216.000000 p_peak_val0.885895 p_end220.000000 p_end_val0.875942 qrs_onset311.000000 qrs_onset_val0.226272 qrs_end18.000000 qrs_end_val-0.203005 t_peak194.000000 t_peak_val0.098606 t_end220.000000 t_end_val0.875942
 r_peak127237.000000 r_peak_value1.764126 rr_pre_interval326.000000 rr_post_interval178.000000 p_onset115.000000 p_onset_val-0.156251 p_peak147.000000 p_peak_val-0.070736 p_end150.000000 p_end_val-0.098715 qrs_onset157.000000 qrs_onset_val-0.111724 qrs_end25.000000 qrs_end_val-0.613727 t_peak82.000000 t_peak_val-0.069462 t_end115.000000 t_end_val-0.156251
 r_peak127415.000000 r_peak_value1.989151 rr_pre_interval178.000000 rr_post_interval235.000000 p_onset144.000000 p_onset_val-0.048450 p_peak179.000000 p_peak_val0.054454 p_end195.000000 p_end_val0.019265 qrs_onset214.000000 qrs_onset_val0.019483 qrs_end19.000000 qrs_end_val-0.177590 t_peak78.000000 t_peak_val0.021591 t_end114.000000 t_end_val-0.084206
 r_peak127650.000000 r_peak_value1.704481 rr_pre_interval235.000000 rr_post_interval319.000000 p_onset262.000000 p_onset_val-0.070676 p_peak298.000000 p_peak_val0.053495 p_end287.000000 p_end_val-0.092055 qrs_onset294.000000 qrs_onset_val-0.057963 qrs_end17.000000 qrs_end_val-0.182198 t_peak131.000000 t_peak_val0.073467 t_end150.000000 t_end_val-0.011643
 r_peak127969.000000 r_peak_value1.775785 rr_pre_interval319.000000 rr_post_interval226.000000 p_onset127.000000 p_onset_val-0.160874 p_peak167.000000 p_peak_val0.011287 p_end192.000000 p_end_val-0.082164 qrs_onset204.000000 qrs_onset_val-0.065017 qrs_end20.000000 qrs_end_val-0.332647 t_peak112.000000 t_peak_val-0.073100 t_end127.000000 t_end_val-0.160874
 r_peak128195.000000 r_peak_value1.969046 rr_pre_interval226.000000 rr_post_interval289.000000 p_onset233.000000 p_onset_val-0.018136 p_peak268.000000 p_peak_val0.019137 p_end257.000000 p_end_val-0.041771 qrs_onset264.000000 qrs_onset_val0.012398 qrs_end21.000000 qrs_end_val-0.377192 t_peak78.000000 t_peak_val0.071225 t_end104.000000 t_end_val-0.060954
 r_peak128484.000000 r_peak_value1.719109 rr_pre_interval289.000000 rr_post_interval240.000000 p_onset121.000000 p_onset_val-0.039308 p_peak155.000000 p_peak_val0.055832 p_end192.000000 p_end_val0.003702 qrs_onset220.000000 qrs_onset_val0.070973 qrs_end23.000000 qrs_end_val-0.328196 t_peak143.000000 t_peak_val0.032870 t_end152.000000 t_end_val0.012602
 r_peak128724.000000 r_peak_value1.678495 rr_pre_interval240.000000 rr_post_interval258.000000 p_onset144.000000 p_onset_val-0.219904 p_peak201.000000 p_peak_val0.743011 p_end202.000000 p_end_val0.741568 qrs_onset249.000000 qrs_onset_val0.065787 qrs_end18.000000 qrs_end_val-0.253667 t_peak112.000000 t_peak_val0.064061 t_end153.000000 t_end_val-0.182570
 r_peak128982.000000 r_peak_value1.316462 rr_pre_interval258.000000 rr_post_interval235.000000 p_onset196.000000 p_onset_val0.015223 p_peak214.000000 p_peak_val0.090866 p_end215.000000 p_end_val0.084486 qrs_onset222.000000 qrs_onset_val0.370944 qrs_end11.000000 qrs_end_val-0.147097 t_peak117.000000 t_peak_val1.404670 t_end188.000000 t_end_val0.042478
 r_peak129217.000000 r_peak_value1.602732 rr_pre_interval235.000000 rr_post_interval246.000000 p_onset201.000000 p_onset_val0.054263 p_peak225.000000 p_peak_val0.093260 p_end215.000000 p_end_val0.025486 qrs_onset222.000000 qrs_onset_val0.050454 qrs_end17.000000 qrs_end_val-0.339337 t_peak81.000000 t_peak_val0.025333 t_end107.000000 t_end_val0.008153
 r_peak129463.000000 r_peak_value1.616002 rr_pre_interval246.000000 rr_post_interval391.000000 p_onset217.000000 p_onset_val0.986351 p_peak235.000000 p_peak_val0.467918 p_end315.000000 p_end_val-0.201174 qrs_onset373.000000 qrs_onset_val0.124061 qrs_end19.000000 qrs_end_val-0.215832 t_peak215.000000 t_peak_val1.020473 t_end217.000000 t_end_val0.986351
 r_peak129854.000000 r_peak_value1.260188 rr_pre_interval391.000000 rr_post_interval647.000000 p_onset359.000000 p_onset_val0.041597 p_peak398.000000 p_peak_val1.592788 p_end432.000000 p_end_val-0.412965 qrs_onset631.000000 qrs_onset_val0.167997 qrs_end16.000000 qrs_end_val-0.270519 t_peak387.000000 t_peak_val0.618212 t_end397.000000 t_end_val1.587804
 r_peak130501.000000 r_peak_value1.672324 rr_pre_interval647.000000 rr_post_interval356.000000 p_onset262.000000 p_onset_val0.005749 p_peak309.000000 p_peak_val0.043758 p_end310.000000 p_end_val0.033209 qrs_onset345.000000 qrs_onset_val0.504165 qrs_end19.000000 qrs_end_val-0.292677 t_peak76.000000 t_peak_val0.076911 t_end81.000000 t_end_val0.065784
 r_peak130857.000000 r_peak_value1.641187 rr_pre_interval356.000000 rr_post_interval249.000000 p_onset168.000000 p_onset_val-0.019987 p_peak193.000000 p_peak_val0.003229 p_end209.000000 p_end_val-0.046815 qrs_onset225.000000 qrs_onset_val-0.039543 qrs_end21.000000 qrs_end_val-0.323201 t_peak79.000000 t_peak_val0.053635 t_end110.000000 t_end_val-0.041472
 r_peak131106.000000 r_peak_value1.716508 rr_pre_interval249.000000 rr_post_interval238.000000 p_onset136.000000 p_onset_val-0.127896 p_peak185.000000 p_peak_val0.012805 p_end210.000000 p_end_val-0.082054 qrs_onset213.000000 qrs_onset_val-0.048449 qrs_end19.000000 qrs_end_val-0.294995 t_peak76.000000 t_peak_val0.058029 t_end77.000000 t_end_val0.052778
 r_peak131344.000000 r_peak_value1.737473 rr_pre_interval238.000000 rr_post_interval414.000000 p_onset338.000000 p_onset_val-0.031738 p_peak393.000000 p_peak_val0.090533 p_end383.000000 p_end_val-0.011190 qrs_onset390.000000 qrs_onset_val0.065094 qrs_end24.000000 qrs_end_val-0.311162 t_peak168.000000 t_peak_val0.081583 t_end171.000000 t_end_val0.075360
 r_peak131758.000000 r_peak_value1.681675 rr_pre_interval414.000000 rr_post_interval273.000000 p_onset140.000000 p_onset_val-0.042866 p_peak191.000000 p_peak_val0.039686 p_end241.000000 p_end_val-0.058905 qrs_onset258.000000 qrs_onset_val0.326171 qrs_end16.000000 qrs_end_val-0.294137 t_peak161.000000 t_peak_val0.034857 t_end184.000000 t_end_val0.022648
 r_peak132031.000000 r_peak_value1.380214 rr_pre_interval273.000000 rr_post_interval333.000000 p_onset284.000000 p_onset_val0.037711 p_peak308.000000 p_peak_val0.105702 p_end302.000000 p_end_val0.030971 qrs_onset309.000000 qrs_onset_val0.100608 qrs_end23.000000 qrs_end_val-0.338391 t_peak88.000000 t_peak_val0.151363 t_end169.000000 t_end_val-0.038921
 r_peak132364.000000 r_peak_value1.593258 rr_pre_interval333.000000 rr_post_interval282.000000 p_onset96.000000 p_onset_val-0.024370 p_peak174.000000 p_peak_val-0.021659 p_end225.000000 p_end_val-0.084091 qrs_onset257.000000 qrs_onset_val-0.046643 qrs_end22.000000 qrs_end_val-0.301287 t_peak83.000000 t_peak_val0.073246 t_end101.000000 t_end_val-0.016861
 r_peak132646.000000 r_peak_value1.760020 rr_pre_interval282.000000 rr_post_interval323.000000 p_onset277.000000 p_onset_val-0.068528 p_peak299.000000 p_peak_val0.041065 p_end291.000000 p_end_val-0.082305 qrs_onset298.000000 qrs_onset_val0.037445 qrs_end21.000000 qrs_end_val-0.334791 t_peak83.000000 t_peak_val0.019658 t_end99.000000 t_end_val-0.030767
 r_peak132969.000000 r_peak_value1.742585 rr_pre_interval323.000000 rr_post_interval234.000000 p_onset129.000000 p_onset_val-0.027398 p_peak174.000000 p_peak_val0.086238 p_end188.000000 p_end_val0.035424 qrs_onset220.000000 qrs_onset_val0.493761 qrs_end17.000000 qrs_end_val-0.308904 t_peak127.000000 t_peak_val0.020000 t_end130.000000 t_end_val-0.038557
 r_peak133203.000000 r_peak_value1.317556 rr_pre_interval234.000000 rr_post_interval352.000000 p_onset310.000000 p_onset_val0.073463 p_peak331.000000 p_peak_val0.178337 p_end321.000000 p_end_val0.065076 qrs_onset328.000000 qrs_onset_val0.100955 qrs_end17.000000 qrs_end_val-0.285845 t_peak77.000000 t_peak_val0.094985 t_end106.000000 t_end_val-0.023010
 r_peak133555.000000 r_peak_value1.282743 rr_pre_interval352.000000 rr_post_interval292.000000 p_onset242.000000 p_onset_val-0.060548 p_peak271.000000 p_peak_val0.032979 p_end266.000000 p_end_val0.020173 qrs_onset273.000000 qrs_onset_val0.044249 qrs_end19.000000 qrs_end_val-0.248180 t_peak86.000000 t_peak_val0.048203 t_end88.000000 t_end_val0.046556
 r_peak133847.000000 r_peak_value1.439451 rr_pre_interval292.000000 rr_post_interval227.000000 p_onset170.000000 p_onset_val-0.023323 p_peak197.000000 p_peak_val0.068885 p_end194.000000 p_end_val0.033682 qrs_onset201.000000 qrs_onset_val0.014105 qrs_end16.000000 qrs_end_val-0.180032 t_peak95.000000 t_peak_val0.074390 t_end131.000000 t_end_val-0.070015
 r_peak134074.000000 r_peak_value1.744120 rr_pre_interval227.000000 rr_post_interval331.000000 p_onset276.000000 p_onset_val-0.092067 p_peak299.000000 p_peak_val-0.028683 p_end304.000000 p_end_val-0.047695 qrs_onset308.000000 qrs_onset_val-0.066348 qrs_end25.000000 qrs_end_val-0.266367 t_peak89.000000 t_peak_val0.148354 t_end113.000000 t_end_val0.011677
 r_peak134405.000000 r_peak_value1.814748 rr_pre_interval331.000000 rr_post_interval221.000000 p_onset133.000000 p_onset_val-0.080674 p_peak166.000000 p_peak_val0.091175 p_end174.000000 p_end_val0.030736 qrs_onset208.000000 qrs_onset_val0.409136 qrs_end20.000000 qrs_end_val-0.346210 t_peak131.000000 t_peak_val-0.042634 t_end136.000000 t_end_val-0.040533
 r_peak134626.000000 r_peak_value1.847069 rr_pre_interval221.000000 rr_post_interval192.000000 p_onset86.000000 p_onset_val0.015252 p_peak168.000000 p_peak_val0.094500 p_end155.000000 p_end_val0.028795 qrs_onset162.000000 qrs_onset_val0.063325 qrs_end20.000000 qrs_end_val-0.330876 t_peak83.000000 t_peak_val0.072353 t_end86.000000 t_end_val0.015252
 r_peak134818.000000 r_peak_value1.508326 rr_pre_interval192.000000 rr_post_interval238.000000 p_onset179.000000 p_onset_val-0.023448 p_peak199.000000 p_peak_val0.010908 p_end202.000000 p_end_val-0.003543 qrs_onset226.000000 qrs_onset_val0.130422 qrs_end23.000000 qrs_end_val-0.246925 t_peak78.000000 t_peak_val0.096648 t_end144.000000 t_end_val-0.017256
 r_peak135056.000000 r_peak_value0.849732 rr_pre_interval238.000000 rr_post_interval238.000000 p_onset114.000000 p_onset_val0.017868 p_peak146.000000 p_peak_val0.086929 p_end155.000000 p_end_val0.053151 qrs_onset216.000000 qrs_onset_val0.018242 qrs_end15.000000 qrs_end_val-0.132934 t_peak79.000000 t_peak_val0.079134 t_end83.000000 t_end_val0.057443
 r_peak135294.000000 r_peak_value1.352914 rr_pre_interval238.000000 rr_post_interval321.000000 p_onset208.000000 p_onset_val0.016441 p_peak266.000000 p_peak_val0.058733 p_end278.000000 p_end_val0.029484 qrs_onset297.000000 qrs_onset_val-0.015139 qrs_end14.000000 qrs_end_val-0.191130 t_peak105.000000 t_peak_val0.044126 t_end117.000000 t_end_val0.027213
 r_peak135615.000000 r_peak_value1.722260 rr_pre_interval321.000000 rr_post_interval168.000000 p_onset105.000000 p_onset_val-0.061054 p_peak138.000000 p_peak_val0.218242 p_end140.000000 p_end_val0.136909 qrs_onset147.000000 qrs_onset_val-0.249171 qrs_end20.000000 qrs_end_val-0.346754 t_peak97.000000 t_peak_val-0.027575 t_end113.000000 t_end_val0.013477
 r_peak135783.000000 r_peak_value0.589906 rr_pre_interval168.000000 rr_post_interval516.000000 p_onset347.000000 p_onset_val-0.000926 p_peak419.000000 p_peak_val0.078325 p_end438.000000 p_end_val0.036945 qrs_onset493.000000 qrs_onset_val0.009393 qrs_end14.000000 qrs_end_val-0.138041 t_peak68.000000 t_peak_val0.574640 t_end89.000000 t_end_val0.085660
 r_peak136299.000000 r_peak_value1.287292 rr_pre_interval516.000000 rr_post_interval209.000000 p_onset113.000000 p_onset_val-0.022067 p_peak151.000000 p_peak_val0.239045 p_end168.000000 p_end_val-2.371598 qrs_onset175.000000 qrs_onset_val-1.932616 qrs_end18.000000 qrs_end_val-0.106093 t_peak89.000000 t_peak_val0.040989 t_end92.000000 t_end_val0.028105
 r_peak136508.000000 r_peak_value0.746710 rr_pre_interval209.000000 rr_post_interval172.000000 p_onset22.000000 p_onset_val1.488668 p_peak104.000000 p_peak_val-0.127070 p_end119.000000 p_end_val-0.266004 qrs_onset150.000000 qrs_onset_val-0.231756 qrs_end12.000000 qrs_end_val1.114938 t_peak32.000000 t_peak_val1.735283 t_end108.000000 t_end_val-0.127415
 r_peak136680.000000 r_peak_value1.543324 rr_pre_interval172.000000 rr_post_interval365.000000 p_onset168.000000 p_onset_val0.029890 p_peak219.000000 p_peak_val0.379891 p_end255.000000 p_end_val-0.098228 qrs_onset346.000000 qrs_onset_val-0.089704 qrs_end15.000000 qrs_end_val-0.353274 t_peak202.000000 t_peak_val0.631004 t_end210.000000 t_end_val0.573261
 r_peak137045.000000 r_peak_value1.433934 rr_pre_interval365.000000 rr_post_interval178.000000 p_onset26.000000 p_onset_val-0.526615 p_peak111.000000 p_peak_val0.042273 p_end127.000000 p_end_val-0.040079 qrs_onset166.000000 qrs_onset_val0.341723 qrs_end16.000000 qrs_end_val-0.337634 t_peak105.000000 t_peak_val0.015361 t_end111.000000 t_end_val0.042273
 r_peak137223.000000 r_peak_value1.162570 rr_pre_interval178.000000 rr_post_interval130.000000 p_onset82.000000 p_onset_val-0.021300 p_peak109.000000 p_peak_val0.024718 p_end108.000000 p_end_val0.016223 qrs_onset115.000000 qrs_onset_val-0.213761 qrs_end14.000000 qrs_end_val-0.176833 t_peak70.000000 t_peak_val0.052965 t_end91.000000 t_end_val-0.080235
 r_peak137353.000000 r_peak_value0.987242 rr_pre_interval130.000000 rr_post_interval344.000000 p_onset179.000000 p_onset_val-0.079047 p_peak217.000000 p_peak_val0.083868 p_end233.000000 p_end_val-0.025567 qrs_onset320.000000 qrs_onset_val0.035050 qrs_end13.000000 qrs_end_val-0.124201 t_peak117.000000 t_peak_val1.270937 t_end119.000000 t_end_val1.248507
 r_peak137697.000000 r_peak_value1.486085 rr_pre_interval344.000000 rr_post_interval157.000000 p_onset108.000000 p_onset_val0.061539 p_peak136.000000 p_peak_val0.161726 p_end133.000000 p_end_val0.091397 qrs_onset140.000000 qrs_onset_val-0.016034 qrs_end20.000000 qrs_end_val-0.433900 t_peak89.000000 t_peak_val0.045960 t_end92.000000 t_end_val0.013766
 r_peak137854.000000 r_peak_value1.564922 rr_pre_interval157.000000 rr_post_interval149.000000 p_onset45.000000 p_onset_val-0.420612 p_peak101.000000 p_peak_val-0.033978 p_end137.000000 p_end_val0.340381 qrs_onset144.000000 qrs_onset_val1.128750 qrs_end18.000000 qrs_end_val-0.325346 t_peak88.000000 t_peak_val0.001552 t_end101.000000 t_end_val-0.033978
