 r_peak670.000000 r_peak_value0.754263 rr_pre_interval670.000000 rr_post_interval211.000000 p_onset87.000000 p_onset_val-0.163854 p_peak127.000000 p_peak_val0.053889 p_end152.000000 p_end_val-0.272037 qrs_onset199.000000 qrs_onset_val-0.263700 qrs_end5.000000 qrs_end_val0.905251 t_peak20.000000 t_peak_val1.131756 t_end80.000000 t_end_val-0.142804
 r_peak125770.000000 r_peak_value2.079655 rr_pre_interval303.000000 rr_post_interval316.000000 p_onset264.000000 p_onset_val-0.227900 p_peak289.000000 p_peak_val0.169608 p_end302.000000 p_end_val0.042852 qrs_onset304.000000 qrs_onset_val0.014606 qrs_end27.000000 qrs_end_val-1.683668 t_peak127.000000 t_peak_val1.382814 t_end214.000000 t_end_val-0.230111
 r_peak126086.000000 r_peak_value2.036300 rr_pre_interval316.000000 rr_post_interval315.000000 p_onset194.000000 p_onset_val-0.173338 p_peak235.000000 p_peak_val0.205472 p_end277.000000 p_end_val-0.375439 qrs_onset303.000000 qrs_onset_val-0.338352 qrs_end14.000000 qrs_end_val0.541190 t_peak124.000000 t_peak_val1.416002 t_end204.000000 t_end_val-0.236661
 r_peak126401.000000 r_peak_value2.046288 rr_pre_interval315.000000 rr_post_interval309.000000 p_onset123.000000 p_onset_val1.326303 p_peak186.000000 p_peak_val0.215473 p_end254.000000 p_end_val-0.427820 qrs_onset297.000000 qrs_onset_val-0.349860 qrs_end17.000000 qrs_end_val0.124358 t_peak125.000000 t_peak_val1.351116 t_end179.000000 t_end_val0.343953
 r_peak126710.000000 r_peak_value2.018370 rr_pre_interval309.000000 rr_post_interval311.000000 p_onset259.000000 p_onset_val-0.337177 p_peak290.000000 p_peak_val-0.250658 p_end295.000000 p_end_val-0.264812 qrs_onset297.000000 qrs_onset_val-0.225016 qrs_end15.000000 qrs_end_val0.388307 t_peak128.000000 t_peak_val1.724544 t_end193.000000 t_end_val-0.275295
 r_peak127021.000000 r_peak_value2.112037 rr_pre_interval311.000000 rr_post_interval297.000000 p_onset36.000000 p_onset_val-2.421126 p_peak184.000000 p_peak_val-0.139046 p_end233.000000 p_end_val-0.304874 qrs_onset285.000000 qrs_onset_val-0.205423 qrs_end17.000000 qrs_end_val0.083997 t_peak123.000000 t_peak_val1.505919 t_end171.000000 t_end_val-0.189613
 r_peak127318.000000 r_peak_value2.122806 rr_pre_interval297.000000 rr_post_interval294.000000 p_onset34.000000 p_onset_val-2.155954 p_peak180.000000 p_peak_val-0.048131 p_end256.000000 p_end_val-0.346819 qrs_onset280.000000 qrs_onset_val0.095127 qrs_end19.000000 qrs_end_val-0.382883 t_peak121.000000 t_peak_val1.403720 t_end174.000000 t_end_val-0.061893
 r_peak127612.000000 r_peak_value2.138981 rr_pre_interval294.000000 rr_post_interval606.000000 p_onset299.000000 p_onset_val1.679983 p_peak420.000000 p_peak_val1.389117 p_end491.000000 p_end_val0.278305 qrs_onset595.000000 qrs_onset_val-0.338353 qrs_end17.000000 qrs_end_val-0.469969 t_peak296.000000 t_peak_val2.008150 t_end333.000000 t_end_val-2.311866
 r_peak128218.000000 r_peak_value2.021270 rr_pre_interval606.000000 rr_post_interval321.000000 p_onset276.000000 p_onset_val-0.316236 p_peak299.000000 p_peak_val-0.282255 p_end305.000000 p_end_val-0.256597 qrs_onset310.000000 qrs_onset_val-0.244638 qrs_end14.000000 qrs_end_val0.594075 t_peak133.000000 t_peak_val1.448086 t_end210.000000 t_end_val-0.355752
 r_peak128539.000000 r_peak_value2.044045 rr_pre_interval321.000000 rr_post_interval321.000000 p_onset267.000000 p_onset_val-0.267442 p_peak299.000000 p_peak_val-0.179669 p_end306.000000 p_end_val-0.166863 qrs_onset309.000000 qrs_onset_val-0.127741 qrs_end13.000000 qrs_end_val0.726255 t_peak122.000000 t_peak_val1.551070 t_end199.000000 t_end_val-0.387207
 r_peak128860.000000 r_peak_value2.162823 rr_pre_interval321.000000 rr_post_interval306.000000 p_onset33.000000 p_onset_val-2.246174 p_peak184.000000 p_peak_val-0.202868 p_end193.000000 p_end_val-0.230140 qrs_onset292.000000 qrs_onset_val-0.181849 qrs_end19.000000 qrs_end_val-0.622616 t_peak121.000000 t_peak_val1.508970 t_end191.000000 t_end_val-0.235156
 r_peak129166.000000 r_peak_value2.426975 rr_pre_interval306.000000 rr_post_interval294.000000 p_onset214.000000 p_onset_val-0.244248 p_peak242.000000 p_peak_val0.014561 p_end270.000000 p_end_val-0.401645 qrs_onset280.000000 qrs_onset_val-0.411127 qrs_end12.000000 qrs_end_val0.832413 t_peak120.000000 t_peak_val1.490015 t_end182.000000 t_end_val-0.141114
 r_peak129460.000000 r_peak_value2.241177 rr_pre_interval294.000000 rr_post_interval300.000000 p_onset166.000000 p_onset_val-0.174070 p_peak198.000000 p_peak_val0.263669 p_end264.000000 p_end_val-0.423214 qrs_onset287.000000 qrs_onset_val-0.385690 qrs_end17.000000 qrs_end_val-0.130032 t_peak119.000000 t_peak_val1.439880 t_end168.000000 t_end_val-0.167143
 r_peak129760.000000 r_peak_value2.173042 rr_pre_interval300.000000 rr_post_interval302.000000 p_onset37.000000 p_onset_val-2.298260 p_peak182.000000 p_peak_val-0.112837 p_end239.000000 p_end_val-0.415734 qrs_onset282.000000 qrs_onset_val-0.382461 qrs_end15.000000 qrs_end_val0.281521 t_peak120.000000 t_peak_val1.502302 t_end239.000000 t_end_val-0.415734
 r_peak130062.000000 r_peak_value2.007305 rr_pre_interval302.000000 rr_post_interval308.000000 p_onset37.000000 p_onset_val-2.551176 p_peak185.000000 p_peak_val-0.227706 p_end207.000000 p_end_val-0.324807 qrs_onset297.000000 qrs_onset_val-0.211156 qrs_end18.000000 qrs_end_val-0.573417 t_peak118.000000 t_peak_val1.805536 t_end207.000000 t_end_val-0.324807
 r_peak130370.000000 r_peak_value2.012793 rr_pre_interval308.000000 rr_post_interval313.000000 p_onset188.000000 p_onset_val-0.227391 p_peak225.000000 p_peak_val-0.171939 p_end238.000000 p_end_val-0.213869 qrs_onset299.000000 qrs_onset_val-0.206711 qrs_end13.000000 qrs_end_val0.636977 t_peak121.000000 t_peak_val1.406703 t_end179.000000 t_end_val-0.246012
 r_peak130683.000000 r_peak_value2.102113 rr_pre_interval313.000000 rr_post_interval1220.000000 p_onset899.000000 p_onset_val-0.498714 p_peak926.000000 p_peak_val2.497729 p_end959.000000 p_end_val-1.909213 qrs_onset1205.000000 qrs_onset_val-0.302208 qrs_end17.000000 qrs_end_val0.277599 t_peak624.000000 t_peak_val2.215378 t_end661.000000 t_end_val-2.193697
 r_peak131903.000000 r_peak_value2.800190 rr_pre_interval1220.000000 rr_post_interval294.000000 p_onset254.000000 p_onset_val-0.367634 p_peak272.000000 p_peak_val-0.329419 p_end277.000000 p_end_val-0.324640 qrs_onset280.000000 qrs_onset_val-0.266301 qrs_end34.000000 qrs_end_val-1.772365 t_peak114.000000 t_peak_val1.090578 t_end160.000000 t_end_val-0.493230
 r_peak132197.000000 r_peak_value2.690722 rr_pre_interval294.000000 rr_post_interval312.000000 p_onset265.000000 p_onset_val-0.186346 p_peak291.000000 p_peak_val0.036037 p_end289.000000 p_end_val-0.003728 qrs_onset296.000000 qrs_onset_val0.202996 qrs_end15.000000 qrs_end_val0.455314 t_peak125.000000 t_peak_val1.243857 t_end185.000000 t_end_val-0.227322
 r_peak132509.000000 r_peak_value2.466585 rr_pre_interval312.000000 rr_post_interval641.000000 p_onset328.000000 p_onset_val1.813746 p_peak449.000000 p_peak_val1.081489 p_end529.000000 p_end_val-0.006349 qrs_onset627.000000 qrs_onset_val-0.407603 qrs_end16.000000 qrs_end_val0.366914 t_peak324.000000 t_peak_val2.174436 t_end366.000000 t_end_val-1.860768
 r_peak133150.000000 r_peak_value2.387586 rr_pre_interval641.000000 rr_post_interval303.000000 p_onset38.000000 p_onset_val-1.736990 p_peak191.000000 p_peak_val-0.244905 p_end245.000000 p_end_val-0.382006 qrs_onset286.000000 qrs_onset_val-0.386112 qrs_end16.000000 qrs_end_val0.366614 t_peak120.000000 t_peak_val1.117241 t_end189.000000 t_end_val-0.262774
 r_peak133453.000000 r_peak_value2.406786 rr_pre_interval303.000000 rr_post_interval300.000000 p_onset114.000000 p_onset_val1.717770 p_peak184.000000 p_peak_val-0.257271 p_end210.000000 p_end_val-0.354341 qrs_onset285.000000 qrs_onset_val-0.232775 qrs_end31.000000 qrs_end_val-1.779986 t_peak113.000000 t_peak_val1.730184 t_end168.000000 t_end_val-0.300423
 r_peak133753.000000 r_peak_value2.309797 rr_pre_interval300.000000 rr_post_interval599.000000 p_onset298.000000 p_onset_val1.835110 p_peak415.000000 p_peak_val1.313000 p_end490.000000 p_end_val-0.111110 qrs_onset584.000000 qrs_onset_val0.016958 qrs_end18.000000 qrs_end_val-0.116566 t_peak295.000000 t_peak_val2.160221 t_end332.000000 t_end_val-2.297192
 r_peak134352.000000 r_peak_value1.966598 rr_pre_interval599.000000 rr_post_interval305.000000 p_onset188.000000 p_onset_val-0.145421 p_peak225.000000 p_peak_val0.119001 p_end261.000000 p_end_val-0.382632 qrs_onset292.000000 qrs_onset_val-0.268198 qrs_end21.000000 qrs_end_val-0.611615 t_peak124.000000 t_peak_val1.128434 t_end202.000000 t_end_val-0.191094
 r_peak134657.000000 r_peak_value1.981160 rr_pre_interval305.000000 rr_post_interval311.000000 p_onset167.000000 p_onset_val-0.031154 p_peak196.000000 p_peak_val0.058922 p_end243.000000 p_end_val-0.504155 qrs_onset296.000000 qrs_onset_val-0.404156 qrs_end15.000000 qrs_end_val0.941771 t_peak131.000000 t_peak_val0.962875 t_end180.000000 t_end_val0.078343
 r_peak134968.000000 r_peak_value2.285391 rr_pre_interval311.000000 rr_post_interval319.000000 p_onset266.000000 p_onset_val-0.336004 p_peak295.000000 p_peak_val-0.239184 p_end297.000000 p_end_val-0.267115 qrs_onset304.000000 qrs_onset_val-0.218824 qrs_end19.000000 qrs_end_val0.075267 t_peak134.000000 t_peak_val1.433873 t_end195.000000 t_end_val-0.397132
 r_peak135287.000000 r_peak_value2.313371 rr_pre_interval319.000000 rr_post_interval612.000000 p_onset319.000000 p_onset_val1.657477 p_peak437.000000 p_peak_val1.033792 p_end487.000000 p_end_val-0.182573 qrs_onset591.000000 qrs_onset_val-0.228588 qrs_end21.000000 qrs_end_val-0.373855 t_peak314.000000 t_peak_val2.160925 t_end351.000000 t_end_val-2.010076
 r_peak135899.000000 r_peak_value2.139046 rr_pre_interval612.000000 rr_post_interval295.000000 p_onset216.000000 p_onset_val-0.167130 p_peak243.000000 p_peak_val0.090015 p_end255.000000 p_end_val0.029122 qrs_onset279.000000 qrs_onset_val-0.373120 qrs_end22.000000 qrs_end_val-0.674733 t_peak117.000000 t_peak_val1.209953 t_end178.000000 t_end_val-0.114261
 r_peak136194.000000 r_peak_value1.551268 rr_pre_interval295.000000 rr_post_interval295.000000 p_onset163.000000 p_onset_val-0.210896 p_peak199.000000 p_peak_val0.234512 p_end243.000000 p_end_val-0.355814 qrs_onset282.000000 qrs_onset_val-0.331834 qrs_end14.000000 qrs_end_val0.306301 t_peak113.000000 t_peak_val1.108069 t_end163.000000 t_end_val-0.210896
 r_peak136489.000000 r_peak_value1.899780 rr_pre_interval295.000000 rr_post_interval631.000000 p_onset312.000000 p_onset_val1.731740 p_peak436.000000 p_peak_val1.261008 p_end501.000000 p_end_val-0.294882 qrs_onset613.000000 qrs_onset_val-0.225518 qrs_end20.000000 qrs_end_val-0.337117 t_peak308.000000 t_peak_val1.947633 t_end349.000000 t_end_val-1.772396
 r_peak137120.000000 r_peak_value1.937024 rr_pre_interval631.000000 rr_post_interval314.000000 p_onset246.000000 p_onset_val-0.264750 p_peak283.000000 p_peak_val-0.193730 p_end293.000000 p_end_val-0.217460 qrs_onset294.000000 qrs_onset_val-0.202538 qrs_end27.000000 qrs_end_val-1.158839 t_peak128.000000 t_peak_val1.171318 t_end189.000000 t_end_val-0.306538
 r_peak137434.000000 r_peak_value2.112837 rr_pre_interval314.000000 rr_post_interval907.000000 p_onset571.000000 p_onset_val-0.114231 p_peak604.000000 p_peak_val2.435268 p_end644.000000 p_end_val-1.900894 qrs_onset894.000000 qrs_onset_val-0.350659 qrs_end18.000000 qrs_end_val0.173542 t_peak306.000000 t_peak_val2.436756 t_end354.000000 t_end_val-1.103840
 r_peak138341.000000 r_peak_value2.399467 rr_pre_interval907.000000 rr_post_interval299.000000 p_onset154.000000 p_onset_val0.054421 p_peak183.000000 p_peak_val0.122651 p_end206.000000 p_end_val-0.242993 qrs_onset285.000000 qrs_onset_val-0.370016 qrs_end16.000000 qrs_end_val0.520581 t_peak113.000000 t_peak_val1.198356 t_end164.000000 t_end_val0.192023
 r_peak138640.000000 r_peak_value2.246863 rr_pre_interval299.000000 rr_post_interval301.000000 p_onset38.000000 p_onset_val-2.501976 p_peak182.000000 p_peak_val-0.172446 p_end193.000000 p_end_val-0.198105 qrs_onset289.000000 qrs_onset_val-0.278135 qrs_end14.000000 qrs_end_val0.491472 t_peak124.000000 t_peak_val1.801848 t_end180.000000 t_end_val-0.224500
 r_peak138941.000000 r_peak_value2.142476 rr_pre_interval301.000000 rr_post_interval316.000000 p_onset263.000000 p_onset_val-0.211505 p_peak288.000000 p_peak_val-0.173167 p_end298.000000 p_end_val-0.172728 qrs_onset303.000000 qrs_onset_val-0.146835 qrs_end24.000000 qrs_end_val-0.207963 t_peak126.000000 t_peak_val0.899060 t_end188.000000 t_end_val-0.325190
 r_peak139257.000000 r_peak_value2.109592 rr_pre_interval316.000000 rr_post_interval312.000000 p_onset269.000000 p_onset_val-0.053324 p_peak291.000000 p_peak_val-0.028762 p_end290.000000 p_end_val-0.030470 qrs_onset297.000000 qrs_onset_val0.068479 qrs_end16.000000 qrs_end_val0.737837 t_peak133.000000 t_peak_val0.981134 t_end196.000000 t_end_val-0.158693
 r_peak139569.000000 r_peak_value2.247429 rr_pre_interval312.000000 rr_post_interval910.000000 p_onset592.000000 p_onset_val-0.308667 p_peak613.000000 p_peak_val2.580094 p_end647.000000 p_end_val-0.948574 qrs_onset894.000000 qrs_onset_val-0.289091 qrs_end18.000000 qrs_end_val0.498965 t_peak312.000000 t_peak_val2.466692 t_end349.000000 t_end_val-1.423667
 r_peak140479.000000 r_peak_value2.349483 rr_pre_interval910.000000 rr_post_interval296.000000 p_onset248.000000 p_onset_val-0.319294 p_peak275.000000 p_peak_val-0.237383 p_end277.000000 p_end_val-0.186239 qrs_onset281.000000 qrs_onset_val-0.177634 qrs_end27.000000 qrs_end_val-0.960720 t_peak121.000000 t_peak_val1.335344 t_end164.000000 t_end_val-0.299137
 r_peak140775.000000 r_peak_value2.739577 rr_pre_interval296.000000 rr_post_interval317.000000 p_onset259.000000 p_onset_val-0.263340 p_peak283.000000 p_peak_val-0.190785 p_end298.000000 p_end_val-0.193339 qrs_onset299.000000 qrs_onset_val-0.177995 qrs_end14.000000 qrs_end_val0.937711 t_peak125.000000 t_peak_val1.058332 t_end210.000000 t_end_val-0.324970
 r_peak141092.000000 r_peak_value2.719326 rr_pre_interval317.000000 rr_post_interval627.000000 p_onset320.000000 p_onset_val1.992070 p_peak446.000000 p_peak_val1.123730 p_end492.000000 p_end_val-0.155518 qrs_onset604.000000 qrs_onset_val-0.349372 qrs_end12.000000 qrs_end_val1.489468 t_peak317.000000 t_peak_val2.482978 t_end358.000000 t_end_val-1.622301
 r_peak141719.000000 r_peak_value2.368481 rr_pre_interval627.000000 rr_post_interval309.000000 p_onset128.000000 p_onset_val1.216036 p_peak190.000000 p_peak_val0.344454 p_end270.000000 p_end_val-0.394592 qrs_onset294.000000 qrs_onset_val-0.396660 qrs_end16.000000 qrs_end_val0.295219 t_peak131.000000 t_peak_val1.224014 t_end189.000000 t_end_val0.342980
 r_peak142028.000000 r_peak_value2.144312 rr_pre_interval309.000000 rr_post_interval297.000000 p_onset37.000000 p_onset_val-2.310675 p_peak183.000000 p_peak_val-0.250959 p_end216.000000 p_end_val-0.400348 qrs_onset286.000000 qrs_onset_val-0.383984 qrs_end14.000000 qrs_end_val0.355942 t_peak127.000000 t_peak_val1.786989 t_end176.000000 t_end_val-0.260034
 r_peak142325.000000 r_peak_value2.094183 rr_pre_interval297.000000 rr_post_interval299.000000 p_onset38.000000 p_onset_val-2.323295 p_peak181.000000 p_peak_val-0.260045 p_end212.000000 p_end_val-0.336472 qrs_onset285.000000 qrs_onset_val-0.250534 qrs_end13.000000 qrs_end_val0.682319 t_peak118.000000 t_peak_val1.448839 t_end179.000000 t_end_val-0.258680
 r_peak142624.000000 r_peak_value2.099936 rr_pre_interval299.000000 rr_post_interval608.000000 p_onset342.000000 p_onset_val-2.075750 p_peak425.000000 p_peak_val1.001934 p_end472.000000 p_end_val-0.132865 qrs_onset597.000000 qrs_onset_val-0.339828 qrs_end25.000000 qrs_end_val-0.944925 t_peak304.000000 t_peak_val2.069907 t_end342.000000 t_end_val-2.075750
 r_peak143232.000000 r_peak_value1.820345 rr_pre_interval608.000000 rr_post_interval633.000000 p_onset314.000000 p_onset_val1.490111 p_peak453.000000 p_peak_val1.198713 p_end525.000000 p_end_val-0.382461 qrs_onset617.000000 qrs_onset_val-0.230345 qrs_end17.000000 qrs_end_val0.173558 t_peak310.000000 t_peak_val1.858199 t_end351.000000 t_end_val-1.839138
 r_peak143865.000000 r_peak_value2.069185 rr_pre_interval633.000000 rr_post_interval311.000000 p_onset256.000000 p_onset_val-0.265124 p_peak288.000000 p_peak_val-0.209373 p_end294.000000 p_end_val-0.187335 qrs_onset298.000000 qrs_onset_val-0.174420 qrs_end24.000000 qrs_end_val-0.174278 t_peak133.000000 t_peak_val0.967036 t_end188.000000 t_end_val-0.293292
 r_peak144176.000000 r_peak_value2.082319 rr_pre_interval311.000000 rr_post_interval298.000000 p_onset208.000000 p_onset_val-0.156711 p_peak277.000000 p_peak_val-0.080846 p_end281.000000 p_end_val-0.000486 qrs_onset286.000000 qrs_onset_val0.109874 qrs_end20.000000 qrs_end_val0.135657 t_peak125.000000 t_peak_val1.047714 t_end172.000000 t_end_val-0.154060
 r_peak144474.000000 r_peak_value2.161396 rr_pre_interval298.000000 rr_post_interval293.000000 p_onset177.000000 p_onset_val-0.092114 p_peak229.000000 p_peak_val0.081488 p_end268.000000 p_end_val-0.432698 qrs_onset277.000000 qrs_onset_val-0.458559 qrs_end12.000000 qrs_end_val0.761020 t_peak120.000000 t_peak_val1.231538 t_end195.000000 t_end_val-0.128354
 r_peak144767.000000 r_peak_value1.970831 rr_pre_interval293.000000 rr_post_interval609.000000 p_onset340.000000 p_onset_val-1.454717 p_peak429.000000 p_peak_val1.097648 p_end505.000000 p_end_val-0.312602 qrs_onset594.000000 qrs_onset_val-0.178590 qrs_end14.000000 qrs_end_val0.667696 t_peak299.000000 t_peak_val2.080266 t_end340.000000 t_end_val-1.454717
 r_peak145376.000000 r_peak_value2.019498 rr_pre_interval609.000000 rr_post_interval321.000000 p_onset267.000000 p_onset_val-0.174749 p_peak294.000000 p_peak_val-0.147945 p_end302.000000 p_end_val-0.148603 qrs_onset306.000000 qrs_onset_val-0.138212 qrs_end20.000000 qrs_end_val0.101880 t_peak128.000000 t_peak_val0.844533 t_end203.000000 t_end_val-0.298634
 r_peak145697.000000 r_peak_value1.854704 rr_pre_interval321.000000 rr_post_interval312.000000 p_onset259.000000 p_onset_val-0.192275 p_peak285.000000 p_peak_val0.189763 p_end302.000000 p_end_val0.033510 qrs_onset303.000000 qrs_onset_val0.044514 qrs_end16.000000 qrs_end_val0.674970 t_peak130.000000 t_peak_val1.023709 t_end215.000000 t_end_val-0.146962
 r_peak146009.000000 r_peak_value2.118386 rr_pre_interval312.000000 rr_post_interval306.000000 p_onset190.000000 p_onset_val-0.147332 p_peak225.000000 p_peak_val0.081898 p_end282.000000 p_end_val-0.438118 qrs_onset282.000000 qrs_onset_val-0.438118 qrs_end14.000000 qrs_end_val0.691990 t_peak130.000000 t_peak_val1.247828 t_end205.000000 t_end_val-0.229511
 r_peak146315.000000 r_peak_value2.047085 rr_pre_interval306.000000 rr_post_interval304.000000 p_onset47.000000 p_onset_val-1.045326 p_peak183.000000 p_peak_val0.064735 p_end208.000000 p_end_val-0.283320 qrs_onset286.000000 qrs_onset_val-0.299939 qrs_end18.000000 qrs_end_val0.320582 t_peak130.000000 t_peak_val0.855597 t_end205.000000 t_end_val-0.298916
 r_peak146619.000000 r_peak_value1.987569 rr_pre_interval304.000000 rr_post_interval298.000000 p_onset174.000000 p_onset_val-0.223294 p_peak211.000000 p_peak_val-0.190956 p_end226.000000 p_end_val-0.246960 qrs_onset284.000000 qrs_onset_val-0.201145 qrs_end16.000000 qrs_end_val0.466707 t_peak125.000000 t_peak_val1.206425 t_end174.000000 t_end_val-0.223294
 r_peak146917.000000 r_peak_value2.005878 rr_pre_interval298.000000 rr_post_interval297.000000 p_onset83.000000 p_onset_val0.506303 p_peak182.000000 p_peak_val-0.149376 p_end206.000000 p_end_val-0.213514 qrs_onset288.000000 qrs_onset_val-0.143590 qrs_end18.000000 qrs_end_val-0.343182 t_peak122.000000 t_peak_val0.965391 t_end170.000000 t_end_val-0.153467
 r_peak147214.000000 r_peak_value2.032477 rr_pre_interval297.000000 rr_post_interval300.000000 p_onset207.000000 p_onset_val-0.118199 p_peak256.000000 p_peak_val0.163307 p_end281.000000 p_end_val-0.226112 qrs_onset284.000000 qrs_onset_val-0.278150 qrs_end10.000000 qrs_end_val1.262384 t_peak119.000000 t_peak_val1.119525 t_end169.000000 t_end_val-0.199422
 r_peak147514.000000 r_peak_value1.887776 rr_pre_interval300.000000 rr_post_interval317.000000 p_onset128.000000 p_onset_val1.092302 p_peak210.000000 p_peak_val0.098133 p_end254.000000 p_end_val-0.395093 qrs_onset306.000000 qrs_onset_val-0.307259 qrs_end11.000000 qrs_end_val0.833999 t_peak130.000000 t_peak_val1.120139 t_end209.000000 t_end_val0.084481
 r_peak147831.000000 r_peak_value1.910830 rr_pre_interval317.000000 rr_post_interval318.000000 p_onset273.000000 p_onset_val-0.281473 p_peak294.000000 p_peak_val-0.236911 p_end299.000000 p_end_val-0.236583 qrs_onset305.000000 qrs_onset_val-0.202366 qrs_end18.000000 qrs_end_val0.315988 t_peak143.000000 t_peak_val0.954075 t_end205.000000 t_end_val-0.328211
 r_peak148149.000000 r_peak_value1.948198 rr_pre_interval318.000000 rr_post_interval615.000000 p_onset318.000000 p_onset_val1.627977 p_peak436.000000 p_peak_val0.983732 p_end490.000000 p_end_val-0.144229 qrs_onset602.000000 qrs_onset_val0.111095 qrs_end20.000000 qrs_end_val0.141928 t_peak315.000000 t_peak_val2.007334 t_end353.000000 t_end_val-1.711679
 r_peak148764.000000 r_peak_value2.078417 rr_pre_interval615.000000 rr_post_interval294.000000 p_onset191.000000 p_onset_val0.008966 p_peak224.000000 p_peak_val0.353636 p_end236.000000 p_end_val0.177775 qrs_onset280.000000 qrs_onset_val-0.313385 qrs_end22.000000 qrs_end_val-0.396253 t_peak123.000000 t_peak_val1.041631 t_end175.000000 t_end_val-0.015015
 r_peak149058.000000 r_peak_value1.876474 rr_pre_interval294.000000 rr_post_interval613.000000 p_onset304.000000 p_onset_val1.432130 p_peak422.000000 p_peak_val1.869045 p_end489.000000 p_end_val-0.296554 qrs_onset595.000000 qrs_onset_val-0.232350 qrs_end20.000000 qrs_end_val-0.449826 t_peak300.000000 t_peak_val1.928682 t_end335.000000 t_end_val-2.163307
 r_peak149671.000000 r_peak_value1.721943 rr_pre_interval613.000000 rr_post_interval313.000000 p_onset250.000000 p_onset_val-0.204092 p_peak291.000000 p_peak_val-0.157602 p_end295.000000 p_end_val-0.150407 qrs_onset300.000000 qrs_onset_val-0.132836 qrs_end17.000000 qrs_end_val-0.150125 t_peak122.000000 t_peak_val1.341729 t_end191.000000 t_end_val-0.298242
 r_peak149984.000000 r_peak_value2.276756 rr_pre_interval313.000000 rr_post_interval312.000000 p_onset238.000000 p_onset_val-0.170547 p_peak263.000000 p_peak_val0.185472 p_end292.000000 p_end_val-0.254058 qrs_onset297.000000 qrs_onset_val-0.289795 qrs_end16.000000 qrs_end_val0.495769 t_peak126.000000 t_peak_val1.207147 t_end184.000000 t_end_val-0.191457
 r_peak150296.000000 r_peak_value2.124766 rr_pre_interval312.000000 rr_post_interval1510.000000 p_onset882.000000 p_onset_val-0.265206 p_peak910.000000 p_peak_val2.227742 p_end949.000000 p_end_val-1.978933 qrs_onset1498.000000 qrs_onset_val-0.313904 qrs_end23.000000 qrs_end_val-0.771173 t_peak611.000000 t_peak_val2.159483 t_end651.000000 t_end_val-1.727458
 r_peak151806.000000 r_peak_value1.991237 rr_pre_interval1510.000000 rr_post_interval314.000000 p_onset40.000000 p_onset_val-1.903402 p_peak189.000000 p_peak_val-0.083044 p_end194.000000 p_end_val-0.162856 qrs_onset300.000000 qrs_onset_val-0.221679 qrs_end14.000000 qrs_end_val0.853902 t_peak129.000000 t_peak_val0.965545 t_end194.000000 t_end_val-0.162856
 r_peak152120.000000 r_peak_value2.147616 rr_pre_interval314.000000 rr_post_interval326.000000 p_onset276.000000 p_onset_val-0.293589 p_peak301.000000 p_peak_val-0.237320 p_end295.000000 p_end_val-0.267775 qrs_onset302.000000 qrs_onset_val-0.237540 qrs_end14.000000 qrs_end_val0.814812 t_peak126.000000 t_peak_val1.377412 t_end207.000000 t_end_val-0.436504
 r_peak152446.000000 r_peak_value2.326756 rr_pre_interval326.000000 rr_post_interval315.000000 p_onset251.000000 p_onset_val-0.202396 p_peak294.000000 p_peak_val-0.146128 p_end295.000000 p_end_val-0.149795 qrs_onset301.000000 qrs_onset_val-0.066504 qrs_end27.000000 qrs_end_val-1.338653 t_peak124.000000 t_peak_val1.260612 t_end196.000000 t_end_val-0.272710
 r_peak152761.000000 r_peak_value2.455878 rr_pre_interval315.000000 rr_post_interval593.000000 p_onset300.000000 p_onset_val1.815486 p_peak416.000000 p_peak_val0.967630 p_end475.000000 p_end_val0.306329 qrs_onset581.000000 qrs_onset_val-0.357964 qrs_end12.000000 qrs_end_val1.149579 t_peak297.000000 t_peak_val2.230000 t_end339.000000 t_end_val-1.671507
 r_peak153354.000000 r_peak_value2.055187 rr_pre_interval593.000000 rr_post_interval297.000000 p_onset36.000000 p_onset_val-2.174576 p_peak181.000000 p_peak_val-0.186282 p_end189.000000 p_end_val-0.194355 qrs_onset281.000000 qrs_onset_val-0.271157 qrs_end26.000000 qrs_end_val-1.482367 t_peak122.000000 t_peak_val1.746372 t_end181.000000 t_end_val-0.186282
 r_peak153651.000000 r_peak_value1.932227 rr_pre_interval297.000000 rr_post_interval307.000000 p_onset258.000000 p_onset_val-0.244545 p_peak286.000000 p_peak_val-0.206645 p_end288.000000 p_end_val-0.192052 qrs_onset292.000000 qrs_onset_val-0.177601 qrs_end19.000000 qrs_end_val-0.093604 t_peak125.000000 t_peak_val1.022900 t_end186.000000 t_end_val-0.306848
 r_peak153958.000000 r_peak_value2.251740 rr_pre_interval307.000000 rr_post_interval313.000000 p_onset242.000000 p_onset_val-0.209530 p_peak268.000000 p_peak_val0.143918 p_end278.000000 p_end_val0.034953 qrs_onset298.000000 qrs_onset_val-0.312101 qrs_end19.000000 qrs_end_val0.597917 t_peak130.000000 t_peak_val1.030853 t_end191.000000 t_end_val-0.174201
 r_peak154271.000000 r_peak_value1.870124 rr_pre_interval313.000000 rr_post_interval314.000000 p_onset181.000000 p_onset_val-0.105434 p_peak208.000000 p_peak_val0.274643 p_end255.000000 p_end_val-0.301426 qrs_onset300.000000 qrs_onset_val-0.312540 qrs_end25.000000 qrs_end_val-0.920111 t_peak134.000000 t_peak_val1.265256 t_end184.000000 t_end_val-0.102472
